multipole,value,angle
Normal Quadrupole,-9.53599201025,42.6
Normal Quadrupole,-9.67777107649,42.8
Normal Quadrupole,-9.59905662064,43.0
Normal Quadrupole,-9.60440927909,43.2
Normal Quadrupole,-9.31464402246,43.4
Normal Quadrupole,-8.95950658001,43.6
Normal Quadrupole,-8.07106283627,43.8
Normal Quadrupole,-6.18751012121,44.0
Normal Quadrupole,-3.74445397103,44.2
Normal Quadrupole,-1.83589587051,44.4
Normal Quadrupole,-1.17302253775,44.6
Normal Quadrupole,-1.05928314098,44.8
Normal Quadrupole,-1.16117081633,45.0
Normal Quadrupole,-1.24712537793,45.2
Normal Quadrupole,-1.23054292418,45.4
Normal Quadrupole,-0.972807843198,45.6
Normal Quadrupole,-0.86714393729,45.8
Normal Quadrupole,-0.61315579038,46.0
Normal Quadrupole,-0.59175063735,46.2
Normal Quadrupole,-0.459372289615,46.4
Normal Quadrupole,-0.550470012819,46.6
Normal Quadrupole,-0.891048236623,46.8
Normal Quadrupole,-1.12408868079,47.0
Normal Quadrupole,-1.52706907746,47.2
Normal Quadrupole,-1.93402677842,47.4
Normal Quadrupole,-2.50796934158,47.6
Normal Quadrupole,-2.98001823446,47.8
Normal Quadrupole,-3.36889219269,48.0
Normal Quadrupole,-3.80480691782,48.2
Normal Quadrupole,-4.21076844302,48.4
Normal Quadrupole,-4.56654440893,48.6
Normal Quadrupole,-4.93318705293,48.8
Normal Quadrupole,-5.30264130788,49.0
Normal Quadrupole,-5.62557893438,49.2
Normal Quadrupole,-6.02509849275,49.4
Normal Quadrupole,-6.47884389435,49.6
Normal Quadrupole,-6.79054660665,49.8
Normal Quadrupole,-7.25663200355,50.0
Normal Quadrupole,-7.65949173271,50.2
Normal Quadrupole,-7.99710237798,50.4
Normal Quadrupole,-8.34898845336,50.6
Normal Quadrupole,-8.79501466539,50.8
Normal Quadrupole,-9.28641696134,51.0
Normal Quadrupole,-9.87613550887,51.2
Normal Quadrupole,-10.6542039531,51.4
Normal Quadrupole,-11.6598177223,51.6
Normal Quadrupole,-12.8492539835,51.8
Normal Quadrupole,-14.1943487692,52.0
Normal Quadrupole,-15.6572424781,52.2
Normal Quadrupole,-17.2027956762,52.4
Normal Quadrupole,-18.8679980966,52.6
Normal Quadrupole,-20.4223894001,52.8
Normal Quadrupole,-21.7299995164,53.0
Normal Quadrupole,-22.7086663546,53.2
Normal Quadrupole,-23.5434208507,53.4
Normal Quadrupole,-24.1707066049,53.6
Normal Quadrupole,-24.6795475835,53.8
Normal Quadrupole,-25.1273874235,54.0
Normal Quadrupole,-25.898586195,54.2
Normal Quadrupole,-25.3048316534,54.4
Normal Quadrupole,-21.1117953865,54.6
Normal Quadrupole,-16.9475270748,54.8
Normal Quadrupole,-14.6055626964,55.0
Normal Quadrupole,-13.0166106598,55.2
Normal Quadrupole,-11.9310723149,55.4
Normal Quadrupole,-11.1348280544,55.6
Normal Quadrupole,-10.571708251,55.8
Normal Quadrupole,-10.1562244409,56.0
Normal Quadrupole,-9.79103392698,56.2
Normal Quadrupole,-9.35423745937,56.4
Normal Quadrupole,-8.84161485872,56.6
Normal Quadrupole,-8.2619193309,56.8
Normal Quadrupole,-7.92118025745,57.0
Normal Quadrupole,-7.40675930025,57.2
Normal Quadrupole,-7.19483664418,57.4
Normal Quadrupole,-7.16347568568,57.6
Normal Quadrupole,-7.22906968003,57.8
Normal Quadrupole,-7.30066330622,58.0
Normal Quadrupole,-7.30779563179,58.2
Normal Quadrupole,-7.0431436358,58.4
Normal Quadrupole,-6.68835350068,58.6
Normal Quadrupole,-6.4658043967,58.8
Normal Quadrupole,-6.41121178371,59.0
Normal Quadrupole,-6.50434130754,59.2
Normal Quadrupole,-6.67664343985,59.4
Normal Quadrupole,-6.79229300464,59.6
Normal Quadrupole,-7.02808053294,59.8
Normal Quadrupole,-7.49921666052,60.0
Normal Quadrupole,-8.05223904017,60.2
Normal Quadrupole,-8.61347548115,60.4
Normal Quadrupole,-9.15111303797,60.6
Normal Quadrupole,-9.47942160549,60.8
Normal Quadrupole,-9.6395926169,61.0
Normal Quadrupole,-9.61279525042,61.2
Normal Quadrupole,-9.57350253791,61.4
Normal Quadrupole,-9.46048908261,61.6
Normal Quadrupole,-9.19958459129,61.8
Normal Quadrupole,-8.85828467542,62.0
Normal Quadrupole,-8.56006146202,62.2
Normal Quadrupole,-8.40404814053,62.4
Normal Quadrupole,-8.32670029761,62.6
Normal Quadrupole,-8.37590489086,62.8
Normal Quadrupole,-8.56433937878,63.0
Normal Quadrupole,-8.95418400253,63.2
Normal Quadrupole,-9.83490435138,63.4
Normal Quadrupole,-11.5578513374,63.6
Normal Quadrupole,-16.3200887537,63.8
Normal Quadrupole,-17.8114660427,64.0
Normal Quadrupole,-13.3592958392,64.2
Normal Quadrupole,-10.6816140649,64.4
Normal Quadrupole,-9.28571889245,64.6
Normal Quadrupole,-9.13314477988,64.8
Normal Quadrupole,-9.45364129296,65.0
Normal Quadrupole,-9.84885060099,65.2
Normal Quadrupole,-10.136501788,65.4
Normal Quadrupole,-10.1981483214,65.6
Normal Quadrupole,-10.0909536204,65.8
Normal Quadrupole,-9.85524204213,66.0
Normal Quadrupole,-9.57888182996,66.2
Normal Quadrupole,-9.20805546577,66.4
Normal Quadrupole,-8.68192060237,66.6
Normal Quadrupole,-8.03801126746,66.8
Normal Quadrupole,-7.29313672375,67.0
Normal Quadrupole,-6.46840958996,67.2
Normal Quadrupole,-5.65234089334,67.4
Normal Quadrupole,-4.66043760116,67.6
Normal Quadrupole,-3.66854761704,67.8
Normal Quadrupole,-2.61946424559,68.0
Normal Quadrupole,-1.47623908076,68.2
Normal Quadrupole,-0.437103634313,68.4
Normal Quadrupole,0.753038981245,68.6
Normal Quadrupole,1.92888359178,68.8
Normal Quadrupole,3.14473186391,69.0
Normal Quadrupole,4.27446120541,69.2
Normal Quadrupole,5.21734874065,69.4
Normal Quadrupole,6.0785973845,69.6
Normal Quadrupole,6.77104258533,69.8
Normal Quadrupole,7.31253578905,70.0
Normal Quadrupole,7.79631455411,70.2
Normal Quadrupole,8.23159660224,70.4
Normal Quadrupole,8.55107727898,70.6
Normal Quadrupole,8.73341707235,70.8
Normal Quadrupole,8.75695772861,71.0
Normal Quadrupole,8.56611213385,71.2
Normal Quadrupole,8.14923040809,71.4
Normal Quadrupole,7.41376721696,71.6
Normal Quadrupole,6.29300503912,71.8
Normal Quadrupole,4.98705464421,72.0
Normal Quadrupole,3.23251116616,72.2
Normal Quadrupole,1.43664284782,72.4
Normal Quadrupole,-0.799265174943,72.6
Normal Quadrupole,-3.18073594222,72.8
Normal Quadrupole,-5.80739292949,73.0
Normal Quadrupole,-8.40277208594,73.2
Normal Quadrupole,-10.942987955,73.4
Normal Quadrupole,-13.3090439001,73.6
Normal Quadrupole,-14.6487317365,73.8
Normal Quadrupole,-14.4962730981,74.0
Normal Quadrupole,-13.6197717471,74.2
Normal Quadrupole,-12.5679992331,74.4
Normal Quadrupole,-12.4308760538,74.6
Normal Quadrupole,-12.624151232,74.8
Normal Quadrupole,-12.7728371579,75.0
Normal Quadrupole,-12.8201680003,75.2
Normal Quadrupole,-12.8865464411,75.4
Normal Quadrupole,-12.967781181,75.6
Normal Quadrupole,-13.097217585,75.8
Normal Quadrupole,-13.2012360538,76.0
Normal Quadrupole,-13.2699940298,76.2
Normal Quadrupole,-13.3023713684,76.4
Normal Quadrupole,-13.2914976481,76.6
Normal Quadrupole,-13.2063309355,76.8
Normal Quadrupole,-13.0552404068,77.0
Normal Quadrupole,-12.6679551846,77.2
Normal Quadrupole,-12.1889026556,77.4
Normal Quadrupole,-11.6956972934,77.6
Normal Quadrupole,-11.0655299232,77.8
Normal Quadrupole,-10.5305017754,78.0
Normal Quadrupole,-9.50221358076,78.2
Normal Quadrupole,-8.38291357776,78.4
Normal Quadrupole,-7.08737196337,78.6
