Normal Quadrupole,-29.0742141237,42.2
Normal Quadrupole,-29.072966129,42.4
Normal Quadrupole,-29.0717181343,42.6
Normal Quadrupole,-29.0704701396,42.8
Normal Quadrupole,-29.0692221449,43.0
Normal Quadrupole,-29.0679741502,43.2
Normal Quadrupole,-29.0667261555,43.4
Normal Quadrupole,-29.0654781608,43.6
Normal Quadrupole,-29.0642301661,43.8
Normal Quadrupole,-29.0629821714,44.0
Normal Quadrupole,-29.0617341767,44.2
Normal Quadrupole,-29.060486182,44.4
Normal Quadrupole,-29.0592381873,44.6
Normal Quadrupole,-29.0579901926,44.8
Normal Quadrupole,-29.0567421979,45.0
Normal Quadrupole,-29.0554942032,45.2
Normal Quadrupole,-29.0542462085,45.4
Normal Quadrupole,-29.0529982138,45.6
Normal Quadrupole,-29.0517502191,45.8
Normal Quadrupole,-29.0505022244,46.0
Normal Quadrupole,-29.0492542297,46.2
Normal Quadrupole,-29.048006235,46.4
Normal Quadrupole,-29.0467582403,46.6
Normal Quadrupole,-29.0455102456,46.8
Normal Quadrupole,-29.0442622509,47.0
Normal Quadrupole,-29.0430142562,47.2
Normal Quadrupole,-29.0417662615,47.4
Normal Quadrupole,-29.0405182668,47.6
Normal Quadrupole,-29.0392702721,47.8
Normal Quadrupole,-29.0380222774,48.0
Normal Quadrupole,-29.0367742827,48.2
Normal Quadrupole,-29.035526288,48.4
Normal Quadrupole,-29.0342782933,48.6
Normal Quadrupole,-29.0330302987,48.8
Normal Quadrupole,-29.031782304,49.0
Normal Quadrupole,-29.0305343093,49.2
Normal Quadrupole,-29.0292863146,49.4
Normal Quadrupole,-29.0280383199,49.6
Normal Quadrupole,-29.0267903252,49.8
Normal Quadrupole,-29.0255423305,50.0
Normal Quadrupole,-29.0242943358,50.2
Normal Quadrupole,-29.0230463411,50.4
Normal Quadrupole,-29.0217983464,50.6
Normal Quadrupole,-29.0205503517,50.8
Normal Quadrupole,-29.019302357,51.0
Normal Quadrupole,-29.0180543623,51.2
Normal Quadrupole,-29.0168063676,51.4
Normal Quadrupole,-29.0155583729,51.6
Normal Quadrupole,-29.0143103782,51.8
Normal Quadrupole,-29.0130623835,52.0
Normal Quadrupole,-29.0118143888,52.2
Normal Quadrupole,-29.0105663941,52.4
Normal Quadrupole,-29.0093183994,52.6
Normal Quadrupole,-29.0080704047,52.8
Normal Quadrupole,-29.00682241,53.0
Normal Quadrupole,-29.0055744153,53.2
Normal Quadrupole,-29.0043264206,53.4
Normal Quadrupole,-29.0030784259,53.6
Normal Quadrupole,-29.0018304312,53.8
Normal Quadrupole,-29.0005824365,54.0
Normal Quadrupole,-28.9993344418,54.2
Normal Quadrupole,-28.9980864471,54.4
Normal Quadrupole,-28.9968384524,54.6
Normal Quadrupole,-28.9955904577,54.8
Normal Quadrupole,-28.994342463,55.0
Normal Quadrupole,-28.9930944683,55.2
Normal Quadrupole,-28.9918464736,55.4
Normal Quadrupole,-28.9905984789,55.6
Normal Quadrupole,-28.9893504842,55.8
Normal Quadrupole,-28.9881024895,56.0
Normal Quadrupole,-28.9868544948,56.2
Normal Quadrupole,-28.9856065001,56.4
Normal Quadrupole,-28.9843585054,56.6
Normal Quadrupole,-28.9831105107,56.8
Normal Quadrupole,-28.981862516,57.0
Normal Quadrupole,-28.9806145213,57.2
Normal Quadrupole,-28.9793665266,57.4
Normal Quadrupole,-28.9781185319,57.6
Normal Quadrupole,-28.9768705372,57.8
Normal Quadrupole,-28.9756225425,58.0
Normal Quadrupole,-28.9743745478,58.2
Normal Quadrupole,-28.9731265531,58.4
Normal Quadrupole,-28.9718785584,58.6
Normal Quadrupole,-28.9706305637,58.8
Normal Quadrupole,-28.969382569,59.0
Normal Quadrupole,-28.9681345743,59.2
Normal Quadrupole,-28.9668865796,59.4
Normal Quadrupole,-28.965638585,59.6
Normal Quadrupole,-28.9643905903,59.8
Normal Quadrupole,-28.9631425956,60.0
Normal Quadrupole,-28.9618946009,60.2
Normal Quadrupole,-28.9606466062,60.4
Normal Quadrupole,-28.9593986115,60.6
Normal Quadrupole,-28.9581506168,60.8
Normal Quadrupole,-28.9569026221,61.0
Normal Quadrupole,-28.9556546274,61.2
Normal Quadrupole,-28.9544066327,61.4
Normal Quadrupole,-28.953158638,61.6
